retrieval_date,listed_currency,exchange_rate,bid_rate,offer_rate,last_updated_time,unit_currency
2025-10-28T12:15:05.178+00:00,AED,2.552300,2.506000,2.598600,2025-10-28T12:00:00.665+00:00,SEK
2025-10-28T12:15:05.178+00:00,AFN,0.140900,0.139800,0.142000,2025-10-28T12:00:00.685+00:00,SEK
2025-10-28T12:15:05.178+00:00,ALL,0.112750,0.111700,0.113800,2025-10-28T12:00:00.685+00:00,SEK
2025-10-28T12:15:05.178+00:00,AMD,0.024500,0.024200,0.024800,2025-10-28T12:00:01.004+00:00,SEK
2025-10-28T12:15:05.178+00:00,ANG,5.202600,5.119800,5.285400,2025-10-28T12:00:00.889+00:00,SEK
2025-10-28T12:15:05.178+00:00,AOA,0.010200,0.010000,0.010400,2025-10-28T12:00:00.749+00:00,SEK
2025-10-28T12:15:05.178+00:00,ARS,0.006535,0.006423,0.006648,2025-10-28T12:00:01.005+00:00,SEK
2025-10-28T12:15:05.178+00:00,AUD,6.145515,6.108060,6.182970,2025-10-28T12:00:00.808+00:00,SEK
2025-10-28T12:15:05.178+00:00,AWG,5.180000,5.060000,5.300000,2025-10-28T12:00:01.078+00:00,SEK
2025-10-28T12:15:05.178+00:00,AZN,5.515000,5.460000,5.570000,2025-10-28T12:00:01.396+00:00,SEK
2025-10-28T12:15:05.178+00:00,BAM,5.574250,5.525800,5.622700,2025-10-28T12:00:00.746+00:00,SEK
2025-10-28T12:15:05.178+00:00,BBD,4.655250,4.590000,4.720500,2025-10-28T12:00:01.134+00:00,SEK
2025-10-28T12:15:05.178+00:00,BDT,0.076650,0.075800,0.077500,2025-10-28T12:00:07.236+00:00,SEK
2025-10-28T12:15:05.178+00:00,BGN,5.588900,5.504300,5.673500,2025-10-28T12:00:01.302+00:00,SEK
2025-10-28T12:15:05.178+00:00,BHD,24.869650,24.367000,25.372300,2025-10-28T12:00:01.455+00:00,SEK
2025-10-28T12:15:05.178+00:00,BIF,0.003180,0.003147,0.003212,2025-10-28T12:00:01.451+00:00,SEK
2025-10-28T12:15:05.178+00:00,BMD,9.375200,9.317400,9.433000,2025-10-28T12:00:01.439+00:00,SEK
2025-10-28T12:15:05.178+00:00,BND,7.238450,7.192300,7.284600,2025-10-28T12:00:01.440+00:00,SEK
2025-10-28T12:15:05.178+00:00,BOB,1.356900,1.338800,1.375000,2025-10-28T12:00:01.441+00:00,SEK
