retrieval_date,listed_currency,exchange_rate,bid_rate,offer_rate,last_updated_time,unit_currency
2026-03-19T11:01:48.860+00:00,AED,2.558150,2.534700,2.581600,2026-03-19T11:00:00.266+00:00,SEK
2026-03-19T11:01:48.860+00:00,AFN,0.146250,0.145100,0.147400,2026-03-19T11:00:00.502+00:00,SEK
2026-03-19T11:01:48.860+00:00,ALL,0.112000,0.110900,0.113100,2026-03-19T11:00:00.502+00:00,SEK
2026-03-19T11:01:48.860+00:00,AMD,0.024950,0.024600,0.025300,2026-03-19T11:00:00.584+00:00,SEK
2026-03-19T11:01:48.860+00:00,ANG,5.214850,5.131700,5.298000,2026-03-19T11:00:00.583+00:00,SEK
2026-03-19T11:01:48.860+00:00,AOA,0.010200,0.010000,0.010400,2026-03-19T11:00:00.749+00:00,SEK
2026-03-19T11:01:48.860+00:00,ARS,0.006734,0.006655,0.006813,2026-03-19T11:00:06.997+00:00,SEK
2026-03-19T11:01:48.860+00:00,AUD,6.626005,6.585510,6.666500,2026-03-19T11:00:00.750+00:00,SEK
2026-03-19T11:01:48.860+00:00,AWG,5.195000,5.070000,5.320000,2026-03-19T11:00:00.832+00:00,SEK
2026-03-19T11:01:48.860+00:00,AZN,5.525000,5.470000,5.580000,2026-03-19T11:00:00.833+00:00,SEK
2026-03-19T11:01:48.860+00:00,BAM,5.499000,5.451000,5.547000,2026-03-19T11:00:00.756+00:00,SEK
2026-03-19T11:01:48.860+00:00,BBD,4.666100,4.600600,4.731600,2026-03-19T11:00:00.750+00:00,SEK
2026-03-19T11:01:48.860+00:00,BDT,0.076600,0.075800,0.077400,2026-03-19T11:00:00.834+00:00,SEK
2026-03-19T11:01:48.860+00:00,BGN,5.426850,5.344600,5.509100,2026-02-05T11:30:00.345+00:00,SEK
2026-03-19T11:01:48.860+00:00,BHD,24.926850,24.292100,25.561600,2026-03-19T11:00:00.932+00:00,SEK
2026-03-19T11:01:48.860+00:00,BIF,0.003165,0.003132,0.003197,2026-03-19T11:00:00.933+00:00,SEK
2026-03-19T11:01:48.860+00:00,BMD,9.396950,9.338800,9.455100,2026-03-19T11:00:00.786+00:00,SEK
2026-03-19T11:01:48.860+00:00,BND,7.325500,7.278700,7.372300,2026-03-19T11:00:00.933+00:00,SEK
2026-03-19T11:01:48.860+00:00,BOB,1.360050,1.341900,1.378200,2026-03-19T11:00:01.085+00:00,SEK
2026-03-19T11:01:48.860+00:00,BRL,1.789613,1.739695,1.839531,2026-03-19T11:00:01.086+00:00,SEK
2026-03-19T11:01:48.860+00:00,BSD,9.397250,9.339100,9.455400,2026-03-19T11:00:01.107+00:00,SEK
2026-03-19T11:01:48.860+00:00,BWP,0.662850,0.617000,0.708700,2026-03-19T11:00:01.107+00:00,SEK
2026-03-19T11:01:48.860+00:00,BYN,3.044050,3.010000,3.078100,2026-03-19T11:00:01.112+00:00,SEK
2026-03-19T11:01:48.860+00:00,BZD,4.672750,4.618700,4.726800,2026-03-19T11:00:01.165+00:00,SEK
2026-03-19T11:01:48.860+00:00,CAD,6.842600,6.800600,6.884600,2026-03-19T11:00:01.166+00:00,SEK
2026-03-19T11:01:48.860+00:00,CDF,0.004067,0.003974,0.004160,2026-03-19T11:00:06.745+00:00,SEK
2026-03-19T11:01:48.860+00:00,CHF,11.813400,11.741300,11.885500,2026-03-19T11:00:01.285+00:00,SEK
